epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,18304.7,0.13948,0.18846,0.7804,0.99637,0.97941,0.99043,0.98971,0.08288,0.11733,0.76091,0.0039115,0.0039115,0.0039115
125,18578.3,0.13898,0.18729,0.77979,0.99608,0.97955,0.99048,0.98972,0.08311,0.11635,0.76083,0.003862,0.003862,0.003862
126,18757.3,0.13776,0.18623,0.78033,0.99673,0.97889,0.99044,0.98969,0.08219,0.11708,0.7608,0.0038125,0.0038125,0.0038125
127,18899.9,0.13831,0.18526,0.77955,0.99592,0.9797,0.99065,0.9899,0.08209,0.1154,0.76074,0.003763,0.003763,0.003763
128,19031.4,0.13775,0.18679,0.78064,0.9958,0.97957,0.99052,0.98976,0.08225,0.11497,0.76062,0.0037135,0.0037135,0.0037135
129,19242.1,0.13619,0.18446,0.78077,0.99556,0.9796,0.99042,0.98975,0.08198,0.11499,0.76041,0.003664,0.003664,0.003664
130,19429.9,0.13625,0.18382,0.78056,0.99594,0.97938,0.99056,0.98991,0.08215,0.11622,0.76068,0.0036145,0.0036145,0.0036145
131,19638.2,0.13565,0.18064,0.7802,0.99593,0.9797,0.99046,0.98973,0.08149,0.1147,0.76056,0.003565,0.003565,0.003565
132,19886.1,0.13501,0.18159,0.77991,0.99652,0.97902,0.99031,0.98967,0.08105,0.11395,0.76042,0.0035155,0.0035155,0.0035155
133,20077.3,0.13316,0.17873,0.77992,0.9964,0.97924,0.99035,0.98967,0.08102,0.11396,0.76027,0.003466,0.003466,0.003466
134,20260,0.13404,0.17936,0.77953,0.99597,0.97934,0.99049,0.98987,0.08076,0.1146,0.76018,0.0034165,0.0034165,0.0034165
135,20415.3,0.13286,0.17978,0.77978,0.99593,0.9793,0.99051,0.98996,0.08047,0.1133,0.76002,0.003367,0.003367,0.003367
136,20614.2,0.13297,0.17905,0.78081,0.99606,0.97959,0.99053,0.9899,0.08047,0.11286,0.76008,0.0033175,0.0033175,0.0033175
137,20771.1,0.13258,0.17625,0.7788,0.99647,0.97992,0.99044,0.98988,0.0803,0.11255,0.76005,0.003268,0.003268,0.003268
138,21025.8,0.1323,0.17665,0.77957,0.99668,0.97956,0.99051,0.98986,0.0798,0.11262,0.76001,0.0032185,0.0032185,0.0032185
139,21212.4,0.1316,0.1775,0.77839,0.99639,0.98014,0.99051,0.98985,0.07972,0.11186,0.75987,0.003169,0.003169,0.003169
140,21465.5,0.13152,0.176,0.77861,0.99624,0.98038,0.99059,0.98994,0.07949,0.1123,0.75984,0.0031195,0.0031195,0.0031195
141,21734.8,0.13011,0.17315,0.77941,0.99605,0.9803,0.99059,0.99001,0.07934,0.11128,0.75983,0.00307,0.00307,0.00307
142,21985.5,0.12943,0.17221,0.77876,0.99604,0.97985,0.99064,0.99,0.07935,0.11202,0.75983,0.0030205,0.0030205,0.0030205
143,22159.6,0.12914,0.17039,0.77783,0.99572,0.9796,0.99055,0.98993,0.07923,0.11183,0.75976,0.002971,0.002971,0.002971
144,22358.2,0.12978,0.1721,0.77842,0.99625,0.97954,0.99057,0.98998,0.07902,0.11134,0.75961,0.0029215,0.0029215,0.0029215
145,22496.4,0.12888,0.17126,0.77877,0.99649,0.97941,0.99062,0.99,0.07897,0.11143,0.75966,0.002872,0.002872,0.002872
146,22634.5,0.12764,0.16941,0.77907,0.99617,0.97965,0.99065,0.99018,0.07838,0.11039,0.75949,0.0028225,0.0028225,0.0028225
147,22771.1,0.12773,0.16911,0.77949,0.99615,0.97954,0.99069,0.99013,0.07834,0.11091,0.75946,0.002773,0.002773,0.002773
148,22932.7,0.1276,0.16843,0.77832,0.99639,0.97972,0.99061,0.99008,0.07809,0.11072,0.75939,0.0027235,0.0027235,0.0027235
149,23471,0.12705,0.16794,0.77794,0.99587,0.97968,0.9905,0.9899,0.07828,0.11073,0.75938,0.002674,0.002674,0.002674
150,23694.3,0.1257,0.16494,0.77824,0.99611,0.97976,0.9904,0.98984,0.07797,0.11041,0.75926,0.0026245,0.0026245,0.0026245
151,23842.9,0.12553,0.16662,0.77741,0.99605,0.97983,0.99053,0.98998,0.07752,0.10933,0.75914,0.002575,0.002575,0.002575
152,23995.4,0.12478,0.16405,0.77799,0.99601,0.97969,0.99052,0.98995,0.07716,0.10931,0.75908,0.0025255,0.0025255,0.0025255
153,24277,0.12516,0.16503,0.77764,0.99625,0.97947,0.99047,0.98982,0.07709,0.10989,0.75913,0.002476,0.002476,0.002476
154,24458.8,0.12412,0.1645,0.77822,0.99642,0.97944,0.99041,0.98984,0.0771,0.11027,0.75906,0.0024265,0.0024265,0.0024265
155,24726,0.12379,0.16264,0.77778,0.99551,0.98024,0.99039,0.98981,0.07669,0.11011,0.75902,0.002377,0.002377,0.002377
156,24955,0.12355,0.1643,0.77881,0.9954,0.98038,0.99036,0.9899,0.07659,0.10973,0.75903,0.0023275,0.0023275,0.0023275
157,25208.6,0.12319,0.16322,0.77783,0.99556,0.97992,0.99035,0.98983,0.07643,0.10968,0.75899,0.002278,0.002278,0.002278
158,25492.1,0.12269,0.16068,0.77782,0.99536,0.98022,0.99035,0.98981,0.07626,0.10906,0.759,0.0022285,0.0022285,0.0022285
159,25782.6,0.12157,0.15917,0.77735,0.99522,0.98052,0.9904,0.98986,0.076,0.10898,0.75886,0.002179,0.002179,0.002179
160,25970.9,0.12137,0.15739,0.77763,0.99527,0.98045,0.99041,0.98986,0.07602,0.10882,0.75891,0.0021295,0.0021295,0.0021295
161,26272.2,0.12038,0.15916,0.77796,0.99546,0.98007,0.99039,0.98986,0.07586,0.10922,0.75885,0.00208,0.00208,0.00208
162,26418.3,0.12117,0.15828,0.77671,0.99573,0.98005,0.99042,0.98985,0.07591,0.10891,0.75882,0.0020305,0.0020305,0.0020305
163,26564.7,0.1209,0.15684,0.77771,0.99586,0.97982,0.99041,0.98989,0.07582,0.1086,0.75872,0.001981,0.001981,0.001981
164,26742,0.12022,0.15982,0.77736,0.99569,0.98012,0.99035,0.98985,0.07561,0.10823,0.75866,0.0019315,0.0019315,0.0019315
165,27000.1,0.11912,0.15497,0.77617,0.9953,0.98023,0.99047,0.98997,0.07549,0.10775,0.75861,0.001882,0.001882,0.001882
166,27314.8,0.11896,0.15482,0.77755,0.9955,0.98021,0.9904,0.98989,0.07531,0.10765,0.75859,0.0018325,0.0018325,0.0018325
